author,datetype,docid,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title
"Wax, Nancy Elizabeth,",s,coo.31924067890149,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924067890149.basic.json.bz2,Bibliographies|NotFiction,1993.,1993,,63544520,xx ,009137486,non,1993,,A conflict of cultures
"Sykes, Thomas M.",s,coo.31924073232047,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924073232047.basic.json.bz2,Bibliographies|NotFiction,"Olympia, WA|Washington State Institute for Public Policy, Evergreen State College|1993].",1993,,28084816,wau,009146387,non,1993,High tension|Physiological effect|Research|Electric fields|Electric power distribution|Electromagnetism,Possible health effects of electric and magnetic fields from electric power lines
"(Marian Stephenson), Orden, Marian S.",m,coo.31924073239216,9999,pt.1,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924073239216.basic.json.bz2,NotFiction,"Princeton, N.J.|M.S. Norton|<between 1963 and 1971-   >",1963,HV4989.N64 1963,11519161,nju,009146825,non,1900,Eugenics|History|United States|Involuntary sterilization,Human betterment was our goal
"Potter, Tom.",s,coo.31924073253787,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924073253787.basic.json.bz2,Bibliographies|NotFiction,"Olean, NY|Parent Education Program Press|c1995.",1995,HQ774.5.P68 1995,34270778,nyu,009139257,non,1995,Child development|Parenting|Toddlers,Parenting playfully
"(Edward Hubert), Faulkner, Edward H.",s,coo.31924073975389,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924073975389.basic.json.bz2,NotFiction,Norman|University of Oklahoma press|1943.,1943,S603.F36 1943,563317,oku,009087050,non,1943,Soil conservation|Harrows|Tillage|Sustainable agriculture|Plows|Soil management|Soils|Plowing|Conservation tillage|United States,Plowman's folly
"Stevenson, Robert Louis,",r,coo.31924074619218,1922,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924074619218.basic.json.bz2,Fiction,New York|AMS Press|1974.,1974,,27699171,nyu,011406057,fic,1974,History | Fiction|18th century,Catriona
,s,coo.31924078602160,    ,v.3,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924078602160.basic.json.bz2,Bibliographies|NotFiction,Sydney|Association of Industrial Relations Academics of Australia and New Zealand|1994.,1994,HD8846.5.A84 1994,39829567,at ,009876174,non,1994,New Zealand|Australia|Congresses|Industrial relations,Current research in industrial relations
"Patton, Bob.",s,coo.31924078673013,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924078673013.basic.json.bz2,NotFiction,1982].,1982,,63880770,xx ,009636829,non,1982,Vocational education|United States|Apprenticeship programs,Discussion paper
,s,coo.31924084840440,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924084840440.basic.json.bz2,Bibliographies|NotFiction,"Belfast|Dept. of Agriculture for Northern Ireland, Agricultural and Environmental Research Division|1998?",1998,QH143.5.F74 1998,42849846,ie ,009139836,non,1998,Northern Ireland|Freshwater ecology,"Freshwater research in the Department of Agriculture for Northern Ireland, 1968-1998"
,s,coo.31924086574336,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924086574336.basic.json.bz2,Fiction,"Minocqua, Wis.|Willow Creek Press|1996.",1996,SF426.2.C65 1996,35364727,wiu,009474415,fic,1996,"Dog owners|Authors, American|Anecdotes|Authors|United States|Dogs",Cold noses and warm hearts
,s,coo.31924086700303,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924086700303.basic.json.bz2,NotFiction,S.l.|s.n.|1988,1988,TX5,44709298,xx ,009179489,non,1988,,Participant list
,s,coo.31924086758350,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924086758350.basic.json.bz2,NotFiction|Bibliographies,Berlin|Cramer in der Gebrüder Borntraeger Verlagsbuchhandlung|2002.,2002,,50694435,gw ,003818381,non,2002,Lichens|Congresses|Lichenology,Progress and problems in lichenology at the turn of the millenium
"Flandroit, Carlos Marcelo.",s,coo.31924087253799,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924087253799.basic.json.bz2,Bibliographies|NotFiction,c2000.,2000,,51593565,xx ,009198425,non,2000,,The economic viability of diversifying Argentina's agricultural exports to the US
Yusrizal,s,coo.31924089477578,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924089477578.basic.json.bz2,Bibliographies|NotFiction,2003.,2003,,53927449,xxu,009163919,non,2003,,"Studies on the effects of probiotics and prebiotics on broiler performance, microbial ecology, and volatile ammonia of excreta"
Sophocles.,s,coo.31924089793271,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924089793271.basic.json.bz2,Drama,"New York, N.Y., U.S.A.|Penguin Books|1984.",1984,PA4414.A7F34 1984,52052834,nyu,009236107,dra,1984,Sophocles|Drama|Translations into English|Antigone (Greek mythology),Antigone
,c,coo.31924090296124,1980,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924090296124.basic.json.bz2,Bibliographies|Poetry,"London|Penguin Books|1984, c1980.",1984,PR1195.B5P4,11929887,enk,009209204,poe,1984,English poetry|Birds|Poetry,The Penguin book of bird poetry
"Palma, R. L.",s,coo.31924093871949,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924093871949.basic.json.bz2,Bibliographies|NotFiction,"Kingston, Tasmania, Australia|Australian Antarctic Division|c2002.",2002,QL570.3.P5P35 2002,50971397,at ,009217262,non,2002,Tasmania | Macquarie Island,The lice (Insecta: Phthiraptera) from Macquarie Island
"Eisenhart, Luther Pfahler,",r,coo.31924100345747,1939,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924100345747.basic.json.bz2,NotFiction,"Mineola, N.Y.|Dover Publications|2005.",2005,QA551.E58 2005,56924596,nyu,009377924,non,2005,"Geometry, Analytic|Coordinates",Coordinate geometry
"Ward, Helen L.,",s,coo.31924104249887,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo.31924104249887.basic.json.bz2,Bibliographies|NotFiction,"Oak Ridge, Tenn.|1965.",1965,,7929179,tnu,009229352,non,1965,Radioisotopes|Physiology|Bibliography|Physiological effects,Physiological studies employing radioisotopes
"Earl of, Lytton, Edward Robert Bulwer Lytton,",q,coo1.ark:/13960/t3zs3b606,1999,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo1.ark+=13960=t3zs3b606.basic.json.bz2,NotFiction,New York|T.Y. Crowell|19--?,"<estimate=""[19--?]"">",,29616616,nyu,100763270,non,1900,,The poetical works of Owen Meredith [pseud.]
"(John Gamaliel) Allen, John G.",q,coo1.ark:/13960/t53f59w39,1929,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo1.ark+=13960=t53f59w39.basic.json.bz2,NotFiction|Poetry|History,Rochester? N.Y.|192-,"<estimate=""192-]"">",,64081356,nyu,100766860,poe,1920,Travel|New York (State)|Description and travel | Poetry|fast|Rochester|Public schools|History|(OCoLC)fst01204680|(OCoLC)fst01155558|(OCoLC)fst01082942,History of Rochester in verse
,q,coo1.ark:/13960/t59c7h50v,1929,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo1.ark+=13960=t59c7h50v.basic.json.bz2,NotFiction|Poetry,New York|The H.W. Wilson company|192- .,"<estimate=""192-"">",PS595.H5C34,1483572,nyu,100764978,poe,1920,Patriotic poetry|Memorial Day|War|fast|(OCoLC)fst01055122|Poetry|(OCoLC)fst01015889|(OCoLC)fst01170328,Memorial day in poetry;
"Chesterton, G. K. (Gilbert Keith),",s,coo1.ark:/13960/t6sx6v752,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/coo1.ark+=13960=t6sx6v752.basic.json.bz2,NotFiction|Biography,London|Hodder and Stonghton limited|1925,1925,DA522.C5C4,2715424,enk,000109351,bio,1925,"Cobbett, William|1763-1835",William Cobbett
"Raworth, Tom.",s,gri.ark:/13960/t3613pr1k,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/gri.ark+=13960=t3613pr1k.basic.json.bz2,Fiction,London|Fulcrum P.|1969.,1969,PZ4.R262SePR6068.A93,67923,enk,001910999,fic,1969,,A serial biography
"Hill, Christopher,",s,gri.ark:/13960/t6j12tp88,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/gri.ark+=13960=t6j12tp88.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|Dial Press|1970.,1970,DA426.H49 1970b,93525,nyu,000235941,bio,1970,"Puritan Revolution, 1642-1660|History|Cromwell, Oliver|1599-1658",God's Englishman;
"(Mary Henderson), Eastman, Mary H.",r,hvd.32044010008407,1852,,/Volumes/TARDIS/work/hathifiles/secondcounts/hvd.32044010008407.basic.json.bz2,Fiction,"Upper Saddle River, N.J.|Gregg Press|1968",1968,PZ3.E138A5PS1567.E228,2805,nju,100328893,fic,1968,African American women|Slaves|Plantation life|Fiction|Southern States|Slavery,Aunt Phillis's cabin;
"Kipling, Rudyard,",m,hvd.32044072027964,1937,v.26,/Volumes/TARDIS/work/hathifiles/secondcounts/hvd.32044072027964.basic.json.bz2,Fiction,New York|C. Scribner's sons|1920-1937. [v.1: 1925,1920-1937,,24077106,nyu,012262435,fic,1920,,The writings in prose and verse of Rudyard Kipling
"Maitland, Edward,",r,iau.31858004280768,1873,,/Volumes/TARDIS/work/hathifiles/secondcounts/iau.31858004280768.basic.json.bz2,Fiction|Bibliographies,Boston|Gregg Press|1977.,1977,PZ3.M285By10PR4972.M39,3071622,mau,100783935,fic,1977,,By and by
"Chaĭkovskiĭ, Modest Ilʹich,",r,iau.31858016668174,1906,v.1,/Volumes/TARDIS/work/hathifiles/secondcounts/iau.31858016668174.basic.json.bz2,NotFiction|Biography,New York|Vienna House|1973,1973,ML410.C4C3 1973,810542,nyu,000012233,bio,1973,"Tchaikovsky, Peter Ilich|1840-1893",The life & letters of Peter Ilich Tchaikovsky
