docid,author,datetype,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title,volgenre
mdp.39015030727005,"Conrad, Joseph,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015030727005.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday, Page & co.|1923.",1923,,5140297,nyu,666733,fic,1923,,The Nigger of the Narcissus;,fic
uc1.b3929683,"Morgan, Charles,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b3929683.basic.json.bz2,Fiction|Publishers' advertisements,"London|Macmillan and Co., ...|1932.",1932,PZ3.M8194Fo,1712682,enk,006755031,fic,1932,,The fountain,fic
mdp.39015053247378,"Loubser, J. W.,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015053247378.basic.json.bz2,Fiction,Braamfontein|Varia Books|1969?,1969,PZ1.L88AfPR9881,215061,sa ,1441895,fic,1969,"Short stories, South African",Africana short stories;,fic
mdp.39015032550835,"Poe, Edgar Allan,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015032550835.basic.json.bz2,Fiction,New York;The Heritage Press;c1941,1941,,274685,xx ,002877702,fic,1941,,Tales of mystery & imagination,fic
mdp.39015051364860,"Broughton, T. Alan",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015051364860.basic.json.bz2,Fiction,New York|Morrow|c1984.,1984,,10557699,nyu,643127,fic,1984,,Hob's daughter,fic
uc1.32106013247074,"Zancanella, Don,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.32106013247074.basic.json.bz2,Fiction,Iowa City|University of Iowa Press|1996,1996,PS3576.A49W47 1996,34878812,iau,3115556,fic,1996,,Western electric,fic
mdp.39015002348269,"Uris, Leon,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002348269.basic.json.bz2,Fiction,"Garden City, N.Y.|Doubleday|1958.",1958,PZ4.U76Ex,304901,nyu,001113278,fic,1958,Exodus 1947 (Ship)|Fiction,Exodus,fic
inu.39000001565519,"Durrell, Gerald,",c,1981,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.39000001565519.basic.json.bz2,Fiction,"New York|Simon & Schuster|1982], c1981.",1982,PR6054.U74M6 1982,8114675,nyu,007587540,fic,1982,,The mockery bird,fic
mdp.39015008265616,"Van Dyke, Henry,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015008265616.basic.json.bz2,Fiction,"New York|Farrar, Straus and Giroux|c1965.",1965,PS3572.A43L33,292124,nyu,001187669,fic,1965,,Ladies of the Rachmaninoff eyes,fic
uc1.$b102731,"Gordon, Ian,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b102731.basic.json.bz2,Fiction,New York|Dial Press|1952.,1952,PZ4.G663Ni,5094191,nyu,6601996,fic,1952,,The night thorn,fic
mdp.39015065927306,"Frackelton, Will.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015065927306.basic.json.bz2,UnknownGenre,Chicago|A. C. McClurg & co.|c1941,1941,,1865916,ilu,2071491,other,1941,"Correspondence, reminiscences, etc|Dentists",Sagebrush dentist,fic
